%eval_id interface pd             po             fa             response_fn_1  response_fn_2  response_fn_3  response_fn_4  response_fn_5  response_fn_6  response_fn_7  response_fn_8  response_fn_9  
123      bat        0.0003083333333 0.3205         0.577          5724.54932     0.54299        223.2031       15.56          0.10132        1.239          23.7844        1.239          15.56          
124      bat        0.00035        0.3205         0.577          5723.80713     0.54299        223.2031       15.56          0.10132        1.2493         23.7838        1.2493         15.56          
125      bat        0.0003916666667 0.3205         0.577          5723.43213     0.54299        223.2032       15.56          0.10132        1.2586         23.7875        1.2586         15.56          
126      bat        0.0004333333333 0.3205         0.577          5722.68604     0.54299        223.2032       15.56          0.10132        1.2671         23.7845        1.2671         15.56          
127      bat        0.000475       0.3205         0.577          5723.2998      0.5416         223.2032       15.56          0.09993        1.2172         23.7864        1.2172         15.56          
128      bat        0.0005166666667 0.3205         0.577          5724.7334      0.5416         223.2032       15.56          0.09993        1.2238         23.7876        1.2238         15.56          
129      bat        0.0005583333333 0.3205         0.577          5725.28662     0.5416         223.2032       15.56          0.09993        1.2298         23.7882        1.2298         15.56          
130      bat        0.0006         0.3205         0.577          5724.93848     0.5416         223.2032       15.56          0.09993        1.2355         23.7882        1.2355         15.56          
131      bat        0.0001         0.33           0.577          5719.2959      0.54576        222.9137       15.56          0.1041         1.2547         23.666         1.2547         15.56          
132      bat        0.0001416666667 0.33           0.577          5717.80957     0.54576        222.9137       15.56          0.10271        1.2304         23.6686        1.2304         15.56          
133      bat        0.0001833333333 0.33           0.577          5718.39355     0.54438        222.9137       15.56          0.10271        1.2512         23.6689        1.2512         15.56          
134      bat        0.000225       0.33           0.577          5718.57129     0.54438        222.9138       15.56          0.10271        1.2682         23.6644        1.2682         15.56          
135      bat        0.0002666666667 0.33           0.577          5717.82666     0.54438        222.9137       15.56          0.10132        1.2273         23.6678        1.2273         15.56          
136      bat        0.0003083333333 0.33           0.577          5717.08447     0.54438        222.9138       15.56          0.10132        1.239          23.6689        1.239          15.56          
137      bat        0.00035        0.33           0.577          5718.39648     0.54299        222.9138       15.56          0.10132        1.2493         23.6683        1.2493         15.56          
138      bat        0.0003916666667 0.33           0.577          5719.32275     0.54299        222.9138       15.56          0.10132        1.2586         23.6665        1.2586         15.56          
139      bat        0.0004333333333 0.33           0.577          5718.95801     0.54299        222.9138       15.56          0.10132        1.2671         23.6693        1.2671         15.56          
