 
    Time(hr),     Qbreach,    Qspill,    zs_upstr, zs_downstr, zb_breach, B_bottom,    B_top,  Areabreach, Brchsideslope, Vol_watout, USSedRate, DSSedRate 
     0.13049   1310.36475      0.00000    13.4059     0.4797    -0.4764     5.2584    37.8665   126.5045     1.0964     341453.375    0.00000   59.20754
     0.13187   1343.69031      0.00000    13.4040     0.4870    -0.5525     5.4494    38.2447   129.4954     1.0948     348096.688    0.00000   59.74005
     0.13326   1377.34021      0.00000    13.4021     0.4943    -0.6286     5.6400    38.6223   132.5050     1.0932     354907.500    0.00000   60.27735
     0.13465   1411.31714      0.00000    13.4002     0.5015    -0.7045     5.8303    38.9995   135.5336     1.0916     361887.500    0.00000   60.81924
     0.13604   1445.62451      0.00000    13.3982     0.5088    -0.7802     6.0202    39.3761   138.5814     1.0901     369038.312    0.00000   61.36565
     0.13743   1480.26501      0.00000    13.3962     0.5161    -0.8559     6.2099    39.7523   141.6486     1.0885     376361.531    0.00000   61.91642
     0.13882   1515.24194      0.00000    13.3941     0.5234    -0.9314     6.3994    40.1281   144.7353     1.0870     383858.906    0.00000   62.47148
     0.14021   1550.55798      0.00000    13.3919     0.5307    -1.0068     6.5886    40.5035   147.8419     1.0855     391532.062    0.00000   63.03073
     0.14160   1586.21521      0.00000    13.3898     0.5380    -1.0821     6.7776    40.8786   150.9684     1.0840     399382.781    0.00000   63.59396
     0.14299   1622.21814      0.00000    13.3875     0.5453    -1.1574     6.9663    41.2534   154.1151     1.0825     407412.719    0.00000   64.16132
     0.14437   1658.56812      0.00000    13.3852     0.5526    -1.2326     7.1549    41.6280   157.2821     1.0810     415623.594    0.00000   64.73255
     0.14576   1695.26794      0.00000    13.3829     0.5599    -1.3077     7.3433    42.0023   160.4696     1.0795     424017.219    0.00000   65.30763
     0.14715   1732.32007      0.00000    13.3805     0.5672    -1.3827     7.5316    42.3764   163.6777     1.0781     432595.312    0.00000   65.88644
     0.14854   1769.72791      0.00000    13.3781     0.5745    -1.4576     7.7197    42.7504   166.9066     1.0766     441359.656    0.00000   66.46904
     0.14993   1807.49353      0.00000    13.3756     0.5818    -1.5325     7.9077    43.1242   170.1566     1.0752     450312.031    0.00000   67.05530
     0.15132   1845.61890      0.00000    13.3730     0.5891    -1.6074     8.0956    43.4979   173.4275     1.0738     459454.156    0.00000   67.64516
     0.15271   1884.10718      0.00000    13.3704     0.5965    -1.6822     8.2834    43.8715   176.7197     1.0724     468787.969    0.00000   68.23859
     0.15410   1922.96069      0.00000    13.3678     0.6038    -1.7570     8.4711    44.2450   180.0333     1.0710     478315.250    0.00000   68.83554
     0.15549   1962.18103      0.00000    13.3650     0.6112    -1.8317     8.6587    44.6185   183.3683     1.0696     488037.750    0.00000   69.43594
     0.15687   2001.77124      0.00000    13.3623     0.6186    -1.9064     8.8462    44.9920   186.7251     1.0683     497957.375    0.00000   70.03976
     0.15826   2041.73389      0.00000    13.3594     0.6259    -1.9810     9.0337    45.3654   190.1035     1.0669     508075.969    0.00000   70.64702
     0.15965   2082.07007      0.00000    13.3566     0.6333    -2.0557     9.2212    45.7389   193.5037     1.0655     518395.406    0.00000   71.25761
     0.16104   2122.78369      0.00000    13.3536     0.6407    -2.1303     9.4086    46.1124   196.9260     1.0642     528917.562    0.00000   71.87154
     0.16243   2163.87549      0.00000    13.3506     0.6482    -2.2049     9.5960    46.4859   200.3703     1.0629     539644.312    0.00000   72.48873
