ibh se mn Qp Tp Bw Bd Tc Bwbc Bwac Bdbc Bdac LnQp LnTp LnBw LnBd LnTc LnBwbc LnBwac LnBdbc LnBdac P1 P2 P3
0.2 0.8513333333 0.016 2.55 5328 9.781 1.3 324 1.673 1.868 0.719 0.817 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -0.95265837604503 0.267758344073161 0.378008261875125 0.16440240055369 -0.384437740916089 1.30573520169927 1.13884295856096 1.73260142595478
0.2166666667 0.8513333333 0.016 2.55 5328 9.781 1.3 216 1.036 1.277 0.664 0.783 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.211492934094235 -0.00234650088112365 0.0848231923090769 -0.426944139785288 1.30573520169927 1.44177336564978 1.94516190967583
0.2333333333 0.8513333333 0.016 2.55 5328 9.781 1.3 216 1.021 1.262 0.671 0.789 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.226077538748997 -0.0141623138125044 0.0953101798043249 -0.419310514930217 1.30573520169927 1.44246884235782 1.94567745994287
0.25 0.8513333333 0.016 2.55 5328 9.781 1.3 252 1.192 1.43 0.68 0.799 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.20397280432594 -0.0712275092883679 0.11081436634029 0.108633841002796 -0.406715890009817 1.30573520169927 1.28223352866035 1.83004569313922
0.2666666667 0.8513333333 0.016 2.55 5328 9.781 1.3 216 0.957 1.173 0.762 0.869 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.290811965460709 -0.0872955082601874 0.222487598519289 -0.3227337105107 1.30573520169927 1.44580402635379 1.94815135438124
0.2833333333 0.8513333333 0.016 2.55 5328 9.781 1.3 216 0.936 1.155 0.768 0.875 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.312999880436071 -0.102759733957769 0.230330775980315 -0.315852949418477 1.30573520169927 1.45115238286836 1.95212388317472
0.3 0.8513333333 0.016 2.56 432 9.781 1.3 252 1.079 1.32 0.698 0.82 -0.151580415239674 -1.28401551199947 0.414812410513846 0.0392207131532813 -1.20397280432594 -0.170825391655528 0.0307716586667537 0.134760145595016 -0.380772495517793 1.3578445394285 1.28172801839995 1.86723552515671
0.3166666667 0.8513333333 0.016 2.6 432 9.781 1.3 288 1.259 1.497 0.707 0.826 -0.136076228703709 -1.28401551199947 0.414812410513846 0.0392207131532813 -1.07044141170141 -0.0165423228693158 0.156603027505966 0.147571708729216 -0.373482062255114 1.35620127967415 1.15408371992627 1.78078385650495
0.3333333333 0.8513333333 0.016 2.6 432 9.781 1.3 288 1.286 1.521 0.704 0.823 -0.136076228703709 -1.28401551199947 0.414812410513846 0.0392207131532813 -1.07044141170141 0.0046765478839018 0.17250793534563 0.143319398990685 -0.377120635099022 1.35620127967415 1.15688638045712 1.78260147208426
0.35 0.8513333333 0.016 2.6 468 9.781 1.3 324 1.378 1.576 0.573 0.573 -0.136076228703709 -1.20397280432594 0.414812410513846 0.0392207131532813 -0.95265837604503 0.0737730946599409 0.208029913504162 -0.0625732404526174 -0.739191119061352 1.28067817561282 1.22743464867867 1.77390315583121
0.3666666667 0.8513333333 0.016 2.69 432 9.781 1.3 360 1.579 1.859 0.6 0.741 -0.102046480117398 -1.28401551199947 0.414812410513846 0.0392207131532813 -0.847297860387204 0.209931657341979 0.373178630807781 -0.0165293019512106 -0.482076210480005 1.35321049917444 1.06485583343306 1.72194558597893
0.3833333333 0.8513333333 0.016 2.56 432 9.781 1.3 216 0.884 1.143 0.698 0.826 -0.151580415239674 -1.28401551199947 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.370158294276019 -0.113203693118852 0.134760145595016 -0.373482062255114 1.3578445394285 1.46696311638453 1.99893035848886
0.4 0.8513333333 0.016 2.62 432 9.781 1.3 216 0.826 1.088 0.719 0.853 -0.12841335595814 -1.28401551199947 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.438020583392685 -0.162518929497775 0.16440240055369 -0.341317288284413 1.35545385792361 1.48536173126913 2.01085917798309
0.2 0.8665 0.016 2.55 5328 9.781 1.3 180 0.954 1.198 0.652 0.774 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.54044504094715 -0.293951685465376 -0.0662065782382682 0.0665856047592961 -0.438504962186365 1.30573520169927 1.63109842535386 2.08936030644513
0.2166666667 0.8665 0.016 2.55 5328 9.781 1.3 216 1.064 1.308 0.674 0.796 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.184824687012073 0.0216391751034812 0.0997711537449501 -0.410477649931709 1.30573520169927 1.43442462376025 1.93972122177553
0.2333333333 0.8665 0.016 2.55 5328 9.781 1.3 216 1.045 1.289 0.683 0.802 -0.155494314560811 1.22829011197664 0.414812410513846 0.0392207131532813 -1.35812348415319 -0.202843192514752 0.00700664602552436 0.113035902403433 -0.402968227909577 1.30573520169927 1.43556760899069 1.94056661234287
