 
    Time(hr),     Qbreach,    Qspill,    zs_upstr, zs_downstr, zb_breach, B_bottom,    B_top,  Areabreach, Brchsideslope, Vol_watout, USSedRate, DSSedRate 
     0.11104      1.48399      0.00000     0.2861     0.1732     0.0000     5.6964     5.8484     1.3103    17.1098        820.299    0.00000    0.03528
     0.11243      1.43147      0.00000     0.2782     0.1695     0.0000     5.7302     5.8822     1.2848    17.1098        827.573    0.00000    0.03435
     0.11382      1.38103      0.00000     0.2706     0.1659     0.0000     5.7632     5.9151     1.2598    17.1098        834.591    0.00000    0.03345
     0.11521      1.33257      0.00000     0.2632     0.1624     0.0000     5.7953     5.9472     1.2352    17.1098        841.362    0.00000    0.03259
     0.11660      1.28604      0.00000     0.2562     0.1589     0.0000     5.8265     5.9785     1.2112    17.1098        847.896    0.00000    0.03176
     0.11799      1.24135      0.00000     0.2493     0.1556     0.0000     5.8570     6.0089     1.1876    17.1098        854.203    0.00000    0.03096
     0.11937      1.19843      0.00000     0.2427     0.1523     0.0000     5.8867     6.0386     1.1646    17.1098        860.291    0.00000    0.03019
     0.12076      1.15722      0.00000     0.2364     0.1492     0.0000     5.9156     6.0676     1.1420    17.1098        866.169    0.00000    0.02945
     0.12215      1.11764      0.00000     0.2302     0.1461     0.0000     5.9439     6.0959     1.1200    17.1098        871.846    0.00000    0.02873
     0.12354      1.07962      0.00000     0.2243     0.1431     0.0000     5.9715     6.1235     1.0984    17.1098        877.329    0.00000    0.02804
     0.12493      1.04311      0.00000     0.2186     0.1402     0.0000     5.9984     6.1504     1.0773    17.1098        882.626    0.00000    0.02738
     0.12632      1.00804      0.00000     0.2130     0.1373     0.0000     6.0247     6.1767     1.0567    17.1098        887.744    0.00000    0.02674
     0.12771      0.97436      0.00000     0.2077     0.1346     0.0000     6.0504     6.2024     1.0365    17.1098        892.691    0.00000    0.02612
     0.12910      0.94200      0.00000     0.2025     0.1319     0.0000     6.0755     6.2274     1.0168    17.1098        897.474    0.00000    0.02552
     0.13049      0.91090      0.00000     0.1975     0.1292     0.0000     6.1000     6.2520     0.9976    17.1098        902.098    0.00000    0.02495
     0.13187      0.88102      0.00000     0.1926     0.1267     0.0000     6.1240     6.2759     0.9788    17.1098        906.569    0.00000    0.02439
     0.13326      0.85231      0.00000     0.1879     0.1242     0.0000     6.1474     6.2994     0.9604    17.1098        910.895    0.00000    0.02385
     0.13465      0.82470      0.00000     0.1834     0.1217     0.0000     6.1703     6.3223     0.9425    17.1098        915.080    0.00000    0.02333
     0.13604      0.79839      0.00000     0.1791     0.1194     0.0000     6.1928     6.3447     0.9251    17.1098        919.131    0.00000    0.02283
     0.13743      0.77380      0.00000     0.1749     0.1172     0.0000     6.2147     6.3667     0.9087    17.1098        923.055    0.00000    0.02236
     0.13882      0.75011      0.00000     0.1710     0.1150     0.0000     6.2362     6.3882     0.8926    17.1098        926.858    0.00000    0.02190
     0.14021      0.72729      0.00000     0.1671     0.1129     0.0000     6.2573     6.4093     0.8769    17.1098        930.546    0.00000    0.02146
     0.14160      0.70530      0.00000     0.1634     0.1108     0.0000     6.2779     6.4299     0.8615    17.1098        934.121    0.00000    0.02102
     0.14299      0.68410      0.00000     0.1597     0.1088     0.0000     6.2982     6.4501     0.8465    17.1098        937.589    0.00000    0.02061
     0.14437      0.66365      0.00000     0.1562     0.1069     0.0000     6.3180     6.4700     0.8318    17.1098        940.953    0.00000    0.02020
     0.14576      0.64394      0.00000     0.1528     0.1049     0.0000     6.3374     6.4894     0.8175    17.1098        944.217    0.00000    0.01981
     0.14715      0.62492      0.00000     0.1495     0.1031     0.0000     6.3565     6.5085     0.8034    17.1098        947.384    0.00000    0.01942
     0.14854      0.60657      0.00000     0.1463     0.1013     0.0000     6.3752     6.5271     0.7897    17.1098        950.458    0.00000    0.01905
     0.14993      0.58886      0.00000     0.1432     0.0995     0.0000     6.3935     6.5455     0.7762    17.1098        953.442    0.00000    0.01868
     0.15132      0.57176      0.00000     0.1401     0.0977     0.0000     6.4115     6.5635     0.7631    17.1098        956.339    0.00000    0.01833
     0.15271      0.55526      0.00000     0.1372     0.0960     0.0000     6.4292     6.5811     0.7502    17.1098        959.152    0.00000    0.01799
     0.15410      0.53932      0.00000     0.1343     0.0944     0.0000     6.4465     6.5984     0.7376    17.1098        961.884    0.00000    0.01765
     0.15549      0.52393      0.00000     0.1315     0.0927     0.0000     6.4635     6.6154     0.7253    17.1098        964.538    0.00000    0.01732
     0.15687      0.50906      0.00000     0.1288     0.0911     0.0000     6.4802     6.6321     0.7133    17.1098        967.117    0.00000    0.01701
     0.15826      0.49470      0.00000     0.1262     0.0896     0.0000     6.4965     6.6485     0.7015    17.1098        969.622    0.00000    0.01669
     0.15965      0.48082      0.00000     0.1237     0.0881     0.0000     6.5126     6.6646     0.6900    17.1098        972.057    0.00000    0.01639
     0.16104      0.46740      0.00000     0.1212     0.0866     0.0000     6.5284     6.6804     0.6787    17.1098        974.424    0.00000    0.01610
     0.16243      0.45443      0.00000     0.1188     0.0851     0.0000     6.5439     6.6959     0.6677    17.1098        976.726    0.00000    0.01581
     0.16382      0.44190      0.00000     0.1164     0.0837     0.0000     6.5591     6.7111     0.6569    17.1098        978.963    0.00000    0.01553
